Alpha,T2-VLM2-11000.0kg-x0.0m, , 
         -1.5,  1.970141e-05, , 
        -1.25,  6.809957e-05, , 
           -1,  0.0001458779, , 
        -0.75,  0.0002530336, , 
         -0.5,  0.0003895582, , 
        -0.25,  0.0005554378, , 
            0,  0.0007506528, , 
         0.25,  0.0009751779, , 
          0.5,   0.001228982, , 
         0.75,    0.00151203, , 
            1,   0.001824279, , 
         1.25,   0.002165681, , 
          1.5,   0.002536185, , 
         1.75,    0.00293573, , 
            2,   0.003364253, , 
         2.25,   0.003821685, , 
          2.5,    0.00430795, , 
         2.75,   0.004822967, , 
            3,   0.005366651, , 
         3.25,   0.005938909, , 
          3.5,   0.006539645, , 
         3.75,   0.007168757, , 
            4,   0.007826135, , 
         4.25,   0.008511668, , 
          4.5,   0.009225235, , 
         4.75,   0.009966714, , 
            5,    0.01073597, , 
         5.25,    0.01153288, , 
          5.5,     0.0123573, , 
         5.75,    0.01320907, , 
            6,    0.01408806, , 
         6.25,     0.0149941, , 
          6.5,    0.01592703, , 
         6.75,     0.0168867, , 
            7,    0.01787292, , 
         7.25,    0.01888552, , 
          7.5,    0.01992431, , 
         7.75,    0.02098913, , 
            8,    0.02207976, , 
         8.25,    0.02319601, , 
          8.5,    0.02433769, , 
         8.75,    0.02550458, , 
            9,    0.02669648, , 
         9.25,    0.02791317, , 
          9.5,    0.02915442, , 
         9.75,    0.03042002, , 

