Alpha,T2-VLM2-11000.0kg-x0.0m, , 
         -1.1,   0.005156035, , 
           -1,     0.0053279, , 
         -0.9,   0.005434004, , 
         -0.8,   0.005508168, , 
         -0.7,   0.005564044, , 
         -0.6,   0.005608256, , 
         -0.5,   0.005644691, , 
         -0.4,   0.005675334, , 
         -0.3,   0.005700565, , 
         -0.2,   0.005721722, , 
         -0.1,   0.005740067, , 
            0,   0.005756299, , 
          0.1,   0.005770735, , 
          0.2,   0.005783784, , 
          0.3,   0.005795559, , 
          0.4,   0.005806083, , 
          0.5,   0.005815659, , 
          0.6,   0.005824258, , 
          0.7,    0.00583199, , 
          0.8,   0.005839155, , 
          0.9,   0.005844884, , 
            1,   0.005843462, , 
          1.1,     0.0058283, , 
          1.2,   0.005807999, , 
          1.3,   0.005785943, , 
          1.4,   0.005762684, , 
          1.5,   0.005738323, , 
          1.6,   0.005714006, , 
          1.7,   0.005694754, , 
          1.8,   0.005678209, , 
          1.9,    0.00566235, , 
            2,   0.005645812, , 
          2.1,   0.005627486, , 
          2.2,   0.005598904, , 
          2.3,    0.00556983, , 
          2.4,   0.005540472, , 
          2.5,   0.005510309, , 
          2.6,   0.005480005, , 
          2.7,   0.005448722, , 
          2.8,   0.005422027, , 
          2.9,   0.005396765, , 
            3,   0.005372992, , 
          3.1,   0.005350098, , 
          3.2,   0.005328799, , 
          3.3,   0.005307347, , 
          3.4,   0.005286341, , 
          3.5,   0.005266448, , 
          3.6,   0.005246903, , 
          3.7,   0.005227495, , 
          3.8,   0.005208966, , 
          3.9,   0.005191467, , 
            4,   0.005178428, , 
          4.1,   0.005168071, , 
          4.2,   0.005157727, , 
          4.3,   0.005147254, , 
          4.4,   0.005137075, , 
          4.5,    0.00513777, , 
          4.6,   0.005154603, , 
          4.7,   0.005178072, , 
          4.8,     0.0052049, , 

