Alpha,T2-VLM2-11000.0kg-x0.0m, , 
         -1.1,      383.3347, , 
           -1,      317.1306, , 
         -0.9,      276.4898, , 
         -0.8,      248.3075, , 
         -0.7,      227.2925, , 
         -0.6,       210.845, , 
         -0.5,      197.5192, , 
         -0.4,       186.438, , 
         -0.3,      177.0347, , 
         -0.2,      168.9247, , 
         -0.1,      161.8364, , 
            0,      155.5719, , 
          0.1,       149.983, , 
          0.2,      144.9566, , 
          0.3,      140.4042, , 
          0.4,      136.2557, , 
          0.5,      132.4549, , 
          0.6,      128.9556, , 
          0.7,      125.7201, , 
          0.8,      122.7168, , 
          0.9,      119.9193, , 
            1,      117.3051, , 
          1.1,       114.855, , 
          1.2,      112.5525, , 
          1.3,      110.3835, , 
          1.4,      108.3356, , 
          1.5,      106.3978, , 
          1.6,      104.5607, , 
          1.7,      102.8158, , 
          1.8,      101.1558, , 
          1.9,      99.57391, , 
            2,      98.06426, , 
          2.1,       96.6215, , 
          2.2,      95.24087, , 
          2.3,      93.91803, , 
          2.4,      92.64907, , 
          2.5,      91.43044, , 
          2.6,      90.25891, , 
          2.7,      89.13153, , 
          2.8,       88.0456, , 
          2.9,      86.99867, , 
            3,      85.98844, , 
          3.1,      85.01284, , 
          3.2,      84.06994, , 
          3.3,      83.15797, , 
          3.4,      82.27526, , 
          3.5,      81.42031, , 
          3.6,      80.59168, , 
          3.7,      79.78808, , 
          3.8,      79.00825, , 
          3.9,      78.25107, , 
            4,      77.51547, , 
          4.1,      76.80044, , 
          4.2,      76.10505, , 
          4.3,      75.42842, , 
          4.4,      74.76973, , 
          4.5,       74.1282, , 
          4.6,      73.50311, , 
          4.7,      72.89378, , 
          4.8,      72.29955, , 

